game_key,n_market_types,series
26AUG09SANCAP,11,KXBRASILEIRO1H|KXBRASILEIRO1HBTTS|KXBRASILEIRO1HSPREAD|KXBRASILEIRO1HTOTAL|KXBRASILEIROBTTS|KXBRASILEIROFTTS|KXBRASILEIROGAME|KXBRASILEIROSCORE|KXBRASILEIROSPREAD|KXBRASILEIROTEAMTOTAL|KXBRASILEIROTOTAL
26AUG09RBBCOR,11,KXBRASILEIRO1H|KXBRASILEIRO1HBTTS|KXBRASILEIRO1HSPREAD|KXBRASILEIRO1HTOTAL|KXBRASILEIROBTTS|KXBRASILEIROFTTS|KXBRASILEIROGAME|KXBRASILEIROSCORE|KXBRASILEIROSPREAD|KXBRASILEIROTEAMTOTAL|KXBRASILEIROTOTAL
26AUG09SEAQUE,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG09PALINT,11,KXBRASILEIRO1H|KXBRASILEIRO1HBTTS|KXBRASILEIRO1HSPREAD|KXBRASILEIRO1HTOTAL|KXBRASILEIROBTTS|KXBRASILEIROFTTS|KXBRASILEIROGAME|KXBRASILEIROSCORE|KXBRASILEIROSPREAD|KXBRASILEIROTEAMTOTAL|KXBRASILEIROTOTAL
26AUG09BAHVDG,11,KXBRASILEIRO1H|KXBRASILEIRO1HBTTS|KXBRASILEIRO1HSPREAD|KXBRASILEIRO1HTOTAL|KXBRASILEIROBTTS|KXBRASILEIROFTTS|KXBRASILEIROGAME|KXBRASILEIROSCORE|KXBRASILEIROSPREAD|KXBRASILEIROTEAMTOTAL|KXBRASILEIROTOTAL
26AUG09CRUMIR,11,KXBRASILEIRO1H|KXBRASILEIRO1HBTTS|KXBRASILEIRO1HSPREAD|KXBRASILEIRO1HTOTAL|KXBRASILEIROBTTS|KXBRASILEIROFTTS|KXBRASILEIROGAME|KXBRASILEIROSCORE|KXBRASILEIROSPREAD|KXBRASILEIROTEAMTOTAL|KXBRASILEIROTOTAL
26AUG08TOLLAFC,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG08RSLALA,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG08CDGDAL,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG08MIAMON,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG08BOTFLU,11,KXBRASILEIRO1H|KXBRASILEIRO1HBTTS|KXBRASILEIRO1HSPREAD|KXBRASILEIRO1HTOTAL|KXBRASILEIROBTTS|KXBRASILEIROFTTS|KXBRASILEIROGAME|KXBRASILEIROSCORE|KXBRASILEIROSPREAD|KXBRASILEIROTEAMTOTAL|KXBRASILEIROTOTAL
26AUG08CFCCHA,11,KXBRASILEIRO1H|KXBRASILEIRO1HBTTS|KXBRASILEIRO1HSPREAD|KXBRASILEIRO1HTOTAL|KXBRASILEIROBTTS|KXBRASILEIROFTTS|KXBRASILEIROGAME|KXBRASILEIROSCORE|KXBRASILEIROSPREAD|KXBRASILEIROTEAMTOTAL|KXBRASILEIROTOTAL
26AUG08ORLLEO,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
